Date,Open,High,Low,Close,Adj Close,Volume
2017-01-05,6.000130,6.000130,6.000130,6.000130,5.562447,0
2017-01-06,6.046860,6.046860,6.046860,6.046860,5.605768,0
2017-01-09,6.060000,6.070000,6.060000,6.070000,5.627220,885185
2017-01-10,6.020000,6.020000,6.020000,6.020000,5.580867,330
2017-01-11,6.050000,6.050000,6.030000,6.030000,5.590138,60602
2017-01-12,5.929250,5.929250,5.929250,5.929250,5.496736,0
2017-01-13,5.950000,5.950000,5.950000,5.950000,5.515973,1000
2017-01-16,5.959930,5.959930,5.959930,5.959930,5.525179,0
2017-01-17,5.970000,5.980000,5.960000,5.960000,5.525244,9140
2017-01-18,5.920000,5.930000,5.920000,5.920000,5.488162,100650
2017-01-19,5.892270,5.892270,5.892270,5.892270,5.462455,0
2017-01-20,5.920000,5.920000,5.910000,5.910000,5.478891,27801
2017-01-23,5.910000,5.910000,5.890000,5.900000,5.469621,54138
2017-01-24,5.880000,5.890000,5.870000,5.880000,5.451079,62389
2017-01-25,5.924380,5.924380,5.924380,5.924380,5.492222,0
2017-01-27,5.960000,5.960000,5.960000,5.960000,5.525244,11106
2017-01-30,5.960000,5.960000,5.920000,5.920000,5.488162,37827
2017-01-31,5.920000,5.920000,5.900000,5.900000,5.469621,36191
2017-02-01,5.910000,5.910000,5.910000,5.910000,5.478891,5650
2017-02-02,5.900000,5.900000,5.900000,5.900000,5.469621,5100
2017-02-03,5.830000,5.840000,5.830000,5.840000,5.413998,19052
2017-02-06,5.855970,5.855970,5.855970,5.855970,5.428802,0
2017-02-07,5.860000,5.870000,5.850000,5.860000,5.432538,40059
2017-02-08,5.890000,5.890000,5.890000,5.890000,5.460350,9781
2017-02-09,5.921110,5.921110,5.921110,5.921110,5.489191,0
2017-02-10,5.950000,5.960000,5.950000,5.950000,5.515973,24916
2017-02-13,5.950000,5.950000,5.950000,5.950000,5.515973,134
2017-02-14,5.980000,6.000000,5.980000,5.990000,5.553055,22462
2017-02-15,6.000000,6.000000,6.000000,6.000000,5.562326,46120
2017-02-16,6.000000,6.000000,6.000000,6.000000,5.562326,19026
2017-02-17,6.010000,6.010000,6.000000,6.010000,5.571597,11614
2017-02-20,6.050000,6.050000,6.050000,6.050000,5.608679,1350
2017-02-21,6.050000,6.050000,6.050000,6.050000,5.608679,11372
2017-02-22,6.060000,6.060000,6.050000,6.050000,5.608679,22414
2017-02-23,6.050000,6.050000,6.050000,6.050000,5.608679,8977
2017-02-24,6.040000,6.050000,6.040000,6.050000,5.608679,17223
2017-02-27,6.090000,6.090000,6.070000,6.090000,5.645761,21319
2017-02-28,6.080000,6.080000,6.080000,6.080000,5.636490,24561
2017-03-01,6.113610,6.113610,6.113610,6.113610,5.667648,0
2017-03-02,6.130000,6.140000,6.130000,6.140000,5.692113,80213
2017-03-03,6.200000,6.200000,6.190000,6.190000,5.738466,18460
2017-03-06,6.190000,6.190000,6.150000,6.180000,5.729196,6943
2017-03-07,6.170000,6.170000,6.150000,6.160000,5.710655,13454
2017-03-08,6.140000,6.140000,6.130000,6.130000,5.682843,18242
2017-03-09,6.190000,6.220000,6.190000,6.220000,5.766278,13752
2017-03-10,6.250000,6.250000,6.250000,6.250000,5.794090,1925
2017-03-13,6.187660,6.187660,6.187660,6.187660,5.736298,0
2017-03-14,6.230000,6.230000,6.210000,6.210000,5.757008,3080
2017-03-15,6.210000,6.210000,6.200000,6.210000,5.757008,27772
2017-03-16,6.170000,6.170000,6.150000,6.170000,5.719925,80880
2017-03-17,6.170000,6.180000,6.170000,6.170000,5.719925,5181
2017-03-20,6.160000,6.160000,6.150000,6.150000,5.701384,9139
2017-03-21,6.120000,6.130000,6.120000,6.130000,5.682843,8262
2017-03-22,6.090000,6.100000,6.080000,6.090000,5.645761,23541
2017-03-23,6.130000,6.130000,6.130000,6.130000,5.682843,6855
